	summarized	lineages	abundances	resid	coverage
Mixture10	[('Omicron', 0.9984728769622135)]	BA.2.56 BA.2.23 BA.1.9 BA.1 B.1.1.529 XM BA.1.22 BA.2.35 BA.2.32 BA.2.22 BA.1.3	0.48465567 0.14841099 0.14364610 0.09403300 0.04616099 0.02458200 0.02410798 0.02080440 0.00797871 0.00230415 0.00178890	9.316304078537717	87.54974417282547
Mixture03	[('Omicron', 0.9964992174600781)]	BA.2.56 BA.4.1 BG.5 BA.5.5.1 BA.5.5 XT BA.5 BA.2.23 BA.2.40 BA.2.40.1	0.47454874 0.24717800 0.11213003 0.10046399 0.02471071 0.01509481 0.00831800 0.00751900 0.00326797 0.00326797	6.897101745572678	90.34879443534093
Mixture11	[('Omicron', 0.9987718769951466)]	BG.5	0.99877188	5.147873848665188	86.39601377788182
Mixture16	[('Gamma', 0.9999999999937417)]	P.1.12 P.1.13	0.97364770 0.02635230	4.764641869824022	93.29164297896533
Mixture27	[('Omicron', 0.9987642768049727)]	BA.4.1 BA.4	0.99482198 0.00394229	5.194707327254715	90.34545028926864
Mixture28	[('Omicron', 0.9958690604977327)]	BA.2.13 BA.2.51 BA.2.69 BA.2.56 BA.2.23 BA.2.9.6 BA.2.32 BA.2.81 BA.2.30 BA.2.62 BA.2.58	0.23032340 0.23032340 0.23032340 0.23032340 0.03946000 0.01232030 0.01174170 0.00565586 0.00285906 0.00142248 0.00111607	7.448556198069017	89.39236865866302
Mixture25	[('Omicron', 0.9999999999999175)]	BA.5.5	1.00000000	4.291624008467244	85.24228338293817
Mixture19	[('Omicron', 0.9999999446778604)]	BA.1.9	0.99999994	3.1443691746333045	84.06514396548842
Mixture15	[('Alpha', 0.9999999999968935)]	B.1.1.7	1.00000000	5.521608772935833	93.03079958532588
Mixture14	[('Other', 0.99756741099593)]	B.20 B.15 B B.4	0.33107499 0.33107499 0.33107499 0.00434243	1.3017084720467174	94.72962579005451
Mixture22	[('Omicron', 0.9991679339970589)]	BG.5 BA.2.17	0.99763993 0.00152800	5.782302716172234	91.25840216700665
Mixture23	[('Omicron', 0.9999999999993163)]	BG.5	1.00000000	4.027560877234579	82.91475771661706
Mixture09	[('Other', 0.9905849390027003), ('A', 0.007881375974840078)]	B.15 B B.20 B.4 A B.3.1 B.3 B.11	0.32180107 0.32180107 0.32180107 0.01314962 0.00788138 0.00561167 0.00350687 0.00291356	4.681362370893154	94.26478948600474
Mixture34	[('Alpha', 0.9999999999998892)]	B.1.1.7	1.00000000	4.684965705235883	93.22141591144701
Mixture05	[('Omicron', 0.5529840059990885), ('Other', 0.4426848740057068)]	BA.4.1 BA.5.5 B.20 B BA.5 B.3 B.1.142 B.1.8 B.1 BF.1 B.1.78 BA.5.2.1 B.6.5 B.1.94 B.1.227 B.11 B.1.378 BA.4.1.5 B.1.607 BA.5.3.2 BA.5.1.3 B.1.153	0.34806334 0.10395409 0.09521254 0.09521254 0.04411662 0.04308390 0.03981024 0.03981024 0.03981024 0.02347420 0.02215190 0.02130190 0.02007170 0.01220500 0.01107420 0.00952200 0.00869565 0.00832266 0.00501463 0.00201207 0.00173913 0.00101010	12.692637290810666	93.26823395645921
Mixture40	[('Omicron', 0.9999999999971552)]	BG.5	1.00000000	4.857060498277625	86.11510550780858
Mixture07	[('Omicron', 0.4196305691345139), ('Iota', 0.2168200000018159), ('Alpha', 0.20690685702057207), ('Gamma', 0.08947421022725269), ('Other', 0.05603619017221092)]	BA.4.1 B.1.526 B.1.1.7 P.1.10 BA.5.5 BF.1 XAP B.1 B.1.142 B.1.8 BA.2.38 P.1.6 BG.5 P.1 B.1.382 B.1.547 BA.5.2.1 B.1.559 B.1.381	0.26453303 0.21682000 0.20690686 0.07942153 0.05060888 0.04567700 0.04177512 0.01596962 0.01596962 0.01596962 0.01136136 0.00651988 0.00399492 0.00353280 0.00352113 0.00209864 0.00168025 0.00138773 0.00111982	14.024222849798717	94.6694311607531
Mixture26	[('Omicron', 0.9999999812716451)]	BA.4.1 BA.4.2 BA.4	0.99683699 0.00162753 0.00153546	6.835642358192165	89.55623181620574
Mixture08	[('Omicron', 0.9953691515081374)]	BA.2.23 BA.5.5 BA.1.9 BA.4.1 XAP BG.5 BA.4 BA.1 BA.2.12.1 BA.5 B.1.1.529 BA.1.2 BA.2.18 BC.1 BA.1.13.1	0.19335500 0.19035331 0.18858301 0.14053300 0.09788635 0.06590957 0.03250282 0.02580600 0.02349290 0.01508797 0.00831500 0.00808229 0.00285551 0.00132275 0.00128369	5.80376949525669	92.39875597766111
Mixture21	[('Other', 0.9999999999998024)]	B.20 B.15 B	0.33333333 0.33333333 0.33333333	1.8906950793874444	90.99087048122261
Mixture24	[('Omicron', 0.9997143180084258)]	BF.1	0.99971432	4.938637546242718	85.41283483262549
Mixture06	[('Omicron', 0.6067957259552677), ('Delta', 0.11913358897743412), ('Iota', 0.09100590000589796), ('Alpha', 0.06590389999876446), ('Other', 0.058112089031022954), ('Gamma', 0.05148940000173004)]	BA.1.17.2 BG.5 XAP B.1.526 BA.2.23 AY.18 BA.2.38 B.1.1.7 AY.19 BA.1.1 B.1.617 P.1.4 P.1.6 P.1 B.1 B.1.142 B.1.8 B.1.1.529 BA.2.11 BA.2.25 P.1.11 BA.2.3 AY.53 XV BA.2.40.1 AY.8	0.15292072 0.13609800 0.10460000 0.09100590 0.08045103 0.08003400 0.08002155 0.06590390 0.03575059 0.02908765 0.02197600 0.01724300 0.01707200 0.01255540 0.01204536 0.01204536 0.01204536 0.00628097 0.00588716 0.00481058 0.00461900 0.00330505 0.00232019 0.00180397 0.00152905 0.00102881	12.946717701999079	95.68939571280474
Mixture37	[('Omicron', 0.9998461216966819)]	BA.1.9 BA.1.21 BA.1.24	0.93364784 0.05097820 0.01522008	3.60898679360025	86.48296157576164
Mixture12	[('Omicron', 0.9982821459978699)]	BF.1 BA.5.5 BA.5.6	0.66445739 0.32827900 0.00554576	6.162871554815109	88.36905996053908
Mixture01	[('Omicron', 0.5421748638844742), ('Other', 0.2597727231605334), ('Alpha', 0.05861047399898505), ('Iota', 0.058139500001385125), ('Gamma', 0.04100649993176708), ('Delta', 0.03388227899929143)]	BA.4.1 BG.5 B B.20 B.1.1.7 B.1.526 BA.4.8 BF.1 BA.2.38 B.11 B.1.302 B.1.378 P.1.4 B.1.78 P.1.11 BA.1.21 XAL BA.2.65 AY.19 BA.2.21 XV AY.18 B.1.540 B.1.617 B.1.495 B.1.94 AY.14 AY.53 BA.2.81	0.29177254 0.06688420 0.06631587 0.06631587 0.05861047 0.05813950 0.03673800 0.03538810 0.03219460 0.02841700 0.02791700 0.02323440 0.02276747 0.02018630 0.01823903 0.01822320 0.01801102 0.01775570 0.01745200 0.01230120 0.01179967 0.01144882 0.01050580 0.00712450 0.00566135 0.00409463 0.00255428 0.00242718 0.00110664	13.431875516952966	93.8534595191118
Mixture02	[('Other', 0.37384751800998667), ('Alpha', 0.3703695659996676), ('Iota', 0.07984639700960695), ('Delta', 0.07962717499790509), ('Omicron', 0.059701499994844184), ('Gamma', 0.0335664999992782)]	B.1.1.7 B.20 B B.1.526 AY.30 BA.1.17.2 P.1.7 B.1.617.2 B.1.1.529 P.1 B.1.545 B.47 B.1.617 AY.19	0.37036957 0.18063190 0.18063190 0.07984640 0.05335830 0.04400210 0.02539680 0.02507380 0.01569940 0.00816970 0.00679282 0.00300300 0.00278790 0.00119507	9.608460169462518	93.84008293482259
Mixture13	[('Omicron', 0.9999998653458919)]	BA.4.1 BA.4	0.98553589 0.01446397	9.273573220478124	87.44273149851186
Mixture41	[('Omicron', 0.9999999999702102)]	BA.5.5	1.00000000	4.918168803618998	87.10497274520951
Mixture31	[('Other', 0.5025573569931178), ('Alpha', 0.21523800000114174), ('Gamma', 0.08957436498432975), ('Omicron', 0.06536402699027463), ('Delta', 0.06412870599434004), ('Iota', 0.05760988799692639)]	B.1.1.7 B B.20 P.1.7 B.1.526 B.1.1.529 AY.30 BA.1.5 B.1.78 B.1.302 B.19 AY.19 B.1.170 AY.53 B.10 BA.1.21 BA.1.2	0.21523800 0.20845436 0.20845436 0.08957436 0.05760989 0.03595180 0.03448280 0.02680652 0.02520330 0.02296790 0.02010380 0.01711871 0.01450830 0.01252720 0.00286533 0.00141523 0.00119048	8.661759175829	93.8969334180517
Mixture18	[('Delta', 0.999999999964926)]	AY.19 AY.51	0.99815157 0.00184843	6.198367255808994	91.78343310035783
Mixture42	[('Omicron', 0.9999999241067643)]	BA.4.1	0.99999992	5.759355923455249	82.4632979968565
Mixture17	[('Iota', 0.9999999999997943)]	B.1.526	1.00000000	4.904112855228336	90.1347690867137
Mixture32	[('Omicron', 0.5507757915686541), ('Iota', 0.14870999999968884), ('Other', 0.14156693200189968), ('Alpha', 0.13787561000115703)]	B.1.526 BA.4.1 B.1.1.7 BA.2.23 XAP BA.1.17.2 B BG.5 BF.1 B.1.1.529 B.1.8 B.1 B.1.142 XT BA.2.73 B.1.547 BA.1.14 B.1.393 B.1.302 B.1.199 XAL XV BA.1.20 BF.16 BA.4.2 B.1.134 B.1.37 BA.1.5	0.14871000 0.14337793 0.13787561 0.09754940 0.07215160 0.06800517 0.06599097 0.06551540 0.05143095 0.03303650 0.02095574 0.02095574 0.02095574 0.00456140 0.00418410 0.00409626 0.00313480 0.00283487 0.00181818 0.00174825 0.00143318 0.00136550 0.00136129 0.00131262 0.00131212 0.00115385 0.00105733 0.00104384	11.462883681062323	95.73286961174465
Mixture38	[('Delta', 0.9979265369751235)]	AY.30 AY.52	0.99314185 0.00478469	5.93947046528165	94.6627428686085
Mixture33	[('Other', 0.9990942039991475)]	B.20 B.15 B	0.33303140 0.33303140 0.33303140	2.2200774575177333	90.27187907567803
Mixture36	[('Iota', 0.9999999999999625)]	B.1.526	1.00000000	5.504944372967801	88.92753235461325
Mixture20	[('Omicron', 0.997167756196534)]	BA.2.56 BA.2.23 BA.2.39 BA.2.27 BA.2.3.17 BA.2.30 BA.2.14	0.97084803 0.01169900 0.00446561 0.00407332 0.00240385 0.00226552 0.00141243	5.721698876082274	88.6399357923954
Mixture35	[('Gamma', 0.9994890139407361)]	P.1.7	0.99948901	4.140700388976057	91.34869411095876
Mixture30	[('Omicron', 0.9951274194071746)]	BA.4.1 BG.5 BF.1 BA.2.12 BA.2.56 BA.4 XAP BA.2.9 BA.5 BF.2 BA.2 BA.2.30 BA.5.1.24	0.37840700 0.14944000 0.11694187 0.08960400 0.08084949 0.05186527 0.04094899 0.03102103 0.02304500 0.01406530 0.01028300 0.00589078 0.00276568	6.913555789409299	91.90382235896064
Mixture04	[('Omicron', 0.5036585978377536), ('Other', 0.18325379114381876), ('Gamma', 0.1325669999977694), ('Alpha', 0.10500383299078302), ('Iota', 0.07216490000299382)]	B.1.1.529 BA.2.38 BA.2.56 B.1.1.7 P.1.4 B.1.526 B B.1.513 B.1.251 B.1.302 P.1 P.1.7 BA.1.21 B.11 BA.2.17 BA.1.9 BA.2.32 BA.1.3 B.1.495 BA.2.85 BA.2.52	0.15070330 0.14925100 0.12212253 0.10500383 0.08196500 0.07216490 0.05482003 0.05035410 0.02775568 0.02707360 0.02588700 0.02471500 0.02418410 0.02211200 0.02151900 0.02045865 0.01037340 0.00294985 0.00113838 0.00106157 0.00103520	14.359240770098772	93.1645654282179
Mixture39	[('Omicron', 0.9975084455800863)]	BA.2.56 BA.2.23 BA.2.30 BA.2.18 BA.2.10	0.94578965 0.03847900 0.00527983 0.00498575 0.00297422	5.726103706744435	86.91770056516069
