aligner,background,sample,num_reads
bwa,wb,Mixture01,423031
bwa,wb,Mixture02,2477301
bwa,wb,Mixture03,625803
bwa,wb,Mixture04,334617
bwa,wb,Mixture05,876549
bwa,wb,Mixture06,2487946
bwa,wb,Mixture07,1677177
bwa,wb,Mixture08,1495138
bwa,wb,Mixture09,1094141
bwa,wb,Mixture10,1390062
bwa,wb,Mixture11,957343
bwa,wb,Mixture12,1887639
bwa,wb,Mixture13,337907
bwa,wb,Mixture14,1731524
bwa,wb,Mixture15,1024425
bwa,wb,Mixture16,533099
bwa,wb,Mixture17,885833
bwa,wb,Mixture18,314852
bwa,wb,Mixture19,92425
bwa,wb,Mixture20,1025218
bwa,wb,Mixture21,20079
bwa,wb,Mixture22,1663894
bwa,wb,Mixture23,3355
bwa,wb,Mixture24,557059
bwa,wb,Mixture25,263949
bwa,wb,Mixture26,1771652
bwa,wb,Mixture27,1289166
bwa,wb,Mixture28,1156201
bwa,wb,Mixture29,3237693
bwa,wb,Mixture30,846885
bwa,wb,Mixture31,560556
bwa,wb,Mixture32,1804423
bwa,wb,Mixture33,172081
bwa,wb,Mixture34,891784
bwa,wb,Mixture35,1112313
bwa,wb,Mixture36,516407
bwa,wb,Mixture37,1439354
bwa,wb,Mixture38,822918
bwa,wb,Mixture39,587227
bwa,wb,Mixture40,1505186
bwa,wb,Mixture41,1829478
bwa,wb,Mixture42,680768
bwa,nwrb,Mixture01,189378
bwa,nwrb,Mixture02,273745
bwa,nwrb,Mixture03,251928
bwa,nwrb,Mixture04,317693
bwa,nwrb,Mixture05,235449
bwa,nwrb,Mixture06,399339
bwa,nwrb,Mixture07,569558
bwa,nwrb,Mixture08,371335
bwa,nwrb,Mixture09,343392
bwa,nwrb,Mixture10,236628
bwa,nwrb,Mixture11,249530
bwa,nwrb,Mixture12,406869
bwa,nwrb,Mixture13,278317
bwa,nwrb,Mixture14,390942
bwa,nwrb,Mixture15,379737
bwa,nwrb,Mixture16,386767
bwa,nwrb,Mixture17,253970
bwa,nwrb,Mixture18,201219
bwa,nwrb,Mixture19,231428
bwa,nwrb,Mixture20,297264
bwa,nwrb,Mixture21,145865
bwa,nwrb,Mixture22,369846
bwa,nwrb,Mixture23,205927
bwa,nwrb,Mixture24,359406
bwa,nwrb,Mixture25,216885
bwa,nwrb,Mixture26,366523
bwa,nwrb,Mixture27,260463
bwa,nwrb,Mixture28,309136
bwa,nwrb,Mixture29,464941
bwa,nwrb,Mixture30,358878
bwa,nwrb,Mixture31,326837
bwa,nwrb,Mixture32,578642
bwa,nwrb,Mixture33,254945
bwa,nwrb,Mixture34,220983
bwa,nwrb,Mixture35,328988
bwa,nwrb,Mixture36,195695
bwa,nwrb,Mixture37,294577
bwa,nwrb,Mixture38,301437
bwa,nwrb,Mixture39,327138
bwa,nwrb,Mixture40,261420
bwa,nwrb,Mixture41,200971
bwa,nwrb,Mixture42,196004
bwa,pwrb,Mixture01,301706
bwa,pwrb,Mixture02,457693
bwa,pwrb,Mixture03,588211
bwa,pwrb,Mixture04,678560
bwa,pwrb,Mixture05,343097
bwa,pwrb,Mixture06,567604
bwa,pwrb,Mixture07,716564
bwa,pwrb,Mixture08,512320
bwa,pwrb,Mixture09,166419
bwa,pwrb,Mixture10,437200
bwa,pwrb,Mixture11,335194
bwa,pwrb,Mixture12,411150
bwa,pwrb,Mixture13,423443
bwa,pwrb,Mixture14,389492
bwa,pwrb,Mixture15,333950
bwa,pwrb,Mixture16,450586
bwa,pwrb,Mixture17,362423
bwa,pwrb,Mixture18,377909
bwa,pwrb,Mixture19,329896
bwa,pwrb,Mixture20,398597
bwa,pwrb,Mixture21,291210
bwa,pwrb,Mixture22,285823
bwa,pwrb,Mixture23,246962
bwa,pwrb,Mixture24,259464
bwa,pwrb,Mixture25,422545
bwa,pwrb,Mixture26,233949
bwa,pwrb,Mixture27,249546
bwa,pwrb,Mixture28,346769
bwa,pwrb,Mixture29,448382
bwa,pwrb,Mixture30,466393
bwa,pwrb,Mixture31,435852
bwa,pwrb,Mixture32,329469
bwa,pwrb,Mixture33,297617
bwa,pwrb,Mixture34,405364
bwa,pwrb,Mixture35,268313
bwa,pwrb,Mixture36,364669
bwa,pwrb,Mixture37,283888
bwa,pwrb,Mixture38,296174
bwa,pwrb,Mixture39,469195
bwa,pwrb,Mixture40,411710
bwa,pwrb,Mixture41,543058
bwa,pwrb,Mixture42,405030
minimap2,wb,Mixture01,422837
minimap2,wb,Mixture02,2476625
minimap2,wb,Mixture03,625041
minimap2,wb,Mixture04,333359
minimap2,wb,Mixture05,873065
minimap2,wb,Mixture06,2485955
minimap2,wb,Mixture07,1676851
minimap2,wb,Mixture08,1494357
minimap2,wb,Mixture09,1094032
minimap2,wb,Mixture10,1388785
minimap2,wb,Mixture11,953321
minimap2,wb,Mixture12,1880625
minimap2,wb,Mixture13,336685
minimap2,wb,Mixture14,1731368
minimap2,wb,Mixture15,1024235
minimap2,wb,Mixture16,532855
minimap2,wb,Mixture17,885721
minimap2,wb,Mixture18,314185
minimap2,wb,Mixture19,80879
minimap2,wb,Mixture20,1019945
minimap2,wb,Mixture21,19739
minimap2,wb,Mixture22,1662688
minimap2,wb,Mixture23,3118
minimap2,wb,Mixture24,556877
minimap2,wb,Mixture25,261966
minimap2,wb,Mixture26,1771058
minimap2,wb,Mixture27,1285951
minimap2,wb,Mixture28,1154804
minimap2,wb,Mixture29,3235091
minimap2,wb,Mixture30,846537
minimap2,wb,Mixture31,558751
minimap2,wb,Mixture32,1803658
minimap2,wb,Mixture33,172048
minimap2,wb,Mixture34,890139
minimap2,wb,Mixture35,1096884
minimap2,wb,Mixture36,516280
minimap2,wb,Mixture37,1439145
minimap2,wb,Mixture38,822749
minimap2,wb,Mixture39,587014
minimap2,wb,Mixture40,1504332
minimap2,wb,Mixture41,1825908
minimap2,wb,Mixture42,678837
minimap2,nwrb,Mixture01,189295
minimap2,nwrb,Mixture02,273706
minimap2,nwrb,Mixture03,251793
minimap2,nwrb,Mixture04,317516
minimap2,nwrb,Mixture05,235386
minimap2,nwrb,Mixture06,399118
minimap2,nwrb,Mixture07,569414
minimap2,nwrb,Mixture08,371132
minimap2,nwrb,Mixture09,343361
minimap2,nwrb,Mixture10,236446
minimap2,nwrb,Mixture11,249357
minimap2,nwrb,Mixture12,406774
minimap2,nwrb,Mixture13,278236
minimap2,nwrb,Mixture14,390904
minimap2,nwrb,Mixture15,379686
minimap2,nwrb,Mixture16,386707
minimap2,nwrb,Mixture17,253943
minimap2,nwrb,Mixture18,201191
minimap2,nwrb,Mixture19,231334
minimap2,nwrb,Mixture20,296418
minimap2,nwrb,Mixture21,145849
minimap2,nwrb,Mixture22,369529
minimap2,nwrb,Mixture23,205308
minimap2,nwrb,Mixture24,359287
minimap2,nwrb,Mixture25,216854
minimap2,nwrb,Mixture26,366478
minimap2,nwrb,Mixture27,260420
minimap2,nwrb,Mixture28,308924
minimap2,nwrb,Mixture29,464737
minimap2,nwrb,Mixture30,358724
minimap2,nwrb,Mixture31,326780
minimap2,nwrb,Mixture32,578364
minimap2,nwrb,Mixture33,254315
minimap2,nwrb,Mixture34,220958
minimap2,nwrb,Mixture35,328947
minimap2,nwrb,Mixture36,195662
minimap2,nwrb,Mixture37,294405
minimap2,nwrb,Mixture38,301407
minimap2,nwrb,Mixture39,326886
minimap2,nwrb,Mixture40,261261
minimap2,nwrb,Mixture41,200939
minimap2,nwrb,Mixture42,195958
minimap2,pwrb,Mixture01,300692
minimap2,pwrb,Mixture02,457560
minimap2,pwrb,Mixture03,587735
minimap2,pwrb,Mixture04,677879
minimap2,pwrb,Mixture05,342839
minimap2,pwrb,Mixture06,567074
minimap2,pwrb,Mixture07,716409
minimap2,pwrb,Mixture08,509609
minimap2,pwrb,Mixture09,166399
minimap2,pwrb,Mixture10,436700
minimap2,pwrb,Mixture11,334833
minimap2,pwrb,Mixture12,410948
minimap2,pwrb,Mixture13,421593
minimap2,pwrb,Mixture14,389430
minimap2,pwrb,Mixture15,333870
minimap2,pwrb,Mixture16,450489
minimap2,pwrb,Mixture17,362378
minimap2,pwrb,Mixture18,377875
minimap2,pwrb,Mixture19,329668
minimap2,pwrb,Mixture20,398237
minimap2,pwrb,Mixture21,291181
minimap2,pwrb,Mixture22,285576
minimap2,pwrb,Mixture23,246810
minimap2,pwrb,Mixture24,259333
minimap2,pwrb,Mixture25,422430
minimap2,pwrb,Mixture26,233896
minimap2,pwrb,Mixture27,249493
minimap2,pwrb,Mixture28,346453
minimap2,pwrb,Mixture29,448010
minimap2,pwrb,Mixture30,466055
minimap2,pwrb,Mixture31,435629
minimap2,pwrb,Mixture32,329280
minimap2,pwrb,Mixture33,297581
minimap2,pwrb,Mixture34,405326
minimap2,pwrb,Mixture35,268280
minimap2,pwrb,Mixture36,363631
minimap2,pwrb,Mixture37,283857
minimap2,pwrb,Mixture38,295957
minimap2,pwrb,Mixture39,468959
minimap2,pwrb,Mixture40,411376
minimap2,pwrb,Mixture41,542897
minimap2,pwrb,Mixture42,403829
